Function                                                                                                   CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Overhead Time  Module              Function (Full)                                                                                                                 Source File         Start Address
std::bitset<(unsigned long)256>::operator<<                                                                  0.084s                   0.084s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator<<(unsigned long) const                                                                bitset              0x1d82       
std::bitset<(unsigned long)256>::operator>>                                                                  0.084s                   0.084s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator>>() const                                                                             bitset              0x1c5e       
rand                                                                                                         0.084s                   0.084s                  0s                      0s  libc.so.6           rand                                                                                                                            [Unknown]           0x40790      
std::operator|<(unsigned long)256>                                                                           0.084s                   0.084s                  0s                      0s  benchmark_denseqmc  std::operator|<(unsigned long)256>((unsigned long)256 const&, (unsigned long)256 const)                                         bitset              0x1d8d       
std::bitset<(unsigned long)256>::operator|=                                                                  0.084s                   0.084s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator|=(std::bitset<(unsigned long)256> const&)                                             bitset              0x1c24       
std::bitset<(unsigned long)256>::operator<<                                                                  0.080s                   0.080s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator<<(unsigned long) const                                                                bitset              0x1a9e       
std::bitset<(unsigned long)256>::operator<<                                                                  0.064s                   0.064s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator<<(unsigned long) const                                                                bitset              0x1c86       
std::operator&<(unsigned long)256>                                                                           0.060s                   0.060s                  0s                      0s  benchmark_denseqmc  std::operator&<(unsigned long)256>((unsigned long)256 const&, (unsigned long)256 const)                                         bitset              0x1eee       
std::bitset<(unsigned long)256>::operator&=                                                                  0.056s                   0.056s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator&=(std::bitset<(unsigned long)256> const&)                                             bitset              0x1fa9       
std::bitset<(unsigned long)256>::operator>>                                                                  0.056s                   0.056s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator>>() const                                                                             bitset              0x1f80       
std::operator&<(unsigned long)256>                                                                           0.052s                   0.052s                  0s                      0s  benchmark_denseqmc  std::operator&<(unsigned long)256>((unsigned long)256 const&, (unsigned long)256 const)                                         bitset              0x1c6f       
std::bitset<(unsigned long)256>::operator|=                                                                  0.052s                   0.052s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator|=(std::bitset<(unsigned long)256> const&)                                             bitset              0x1ab6       
std::bitset<(unsigned long)256>::operator&=                                                                  0.048s                   0.048s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator&=(std::bitset<(unsigned long)256> const&)                                             bitset              0x1f25       
std::bitset<(unsigned long)256>::operator&=                                                                  0.048s                   0.048s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator&=(std::bitset<(unsigned long)256> const&)                                             bitset              0x1e64       
std::operator&<(unsigned long)256>                                                                           0.044s                   0.044s                  0s                      0s  benchmark_denseqmc  std::operator&<(unsigned long)256>((unsigned long)256 const&, (unsigned long)256 const)                                         bitset              0x1980       
std::bitset<(unsigned long)256>::operator&=                                                                  0.044s                   0.044s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator&=(std::bitset<(unsigned long)256> const&)                                             bitset              0x1da1       
std::bitset<(unsigned long)256>::operator|=                                                                  0.044s                   0.044s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator|=(std::bitset<(unsigned long)256> const&)                                             bitset              0x1b6d       
std::bitset<(unsigned long)256>::operator|=                                                                  0.036s                   0.036s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator|=(std::bitset<(unsigned long)256> const&)                                             bitset              0x19fd       
std::operator|<(unsigned long)256>                                                                           0.036s                   0.036s                  0s                      0s  benchmark_denseqmc  std::operator|<(unsigned long)256>((unsigned long)256 const&, (unsigned long)256 const)                                         bitset              0x1e61       
std::operator|<(unsigned long)256>                                                                           0.036s                   0.036s                  0s                      0s  benchmark_denseqmc  std::operator|<(unsigned long)256>((unsigned long)256 const&, (unsigned long)256 const)                                         bitset              0x1ced       
std::operator&<(unsigned long)256>                                                                           0.032s                   0.032s                  0s                      0s  benchmark_denseqmc  std::operator&<(unsigned long)256>((unsigned long)256 const&, (unsigned long)256 const)                                         bitset              0x1cc1       
std::bitset<(unsigned long)256>::operator|=                                                                  0.020s                   0.020s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator|=(std::bitset<(unsigned long)256> const&)                                             bitset              0x1ca1       
std::bitset<(unsigned long)256>::operator<<                                                                  0.020s                   0.020s                  0s                      0s  benchmark_denseqmc  std::bitset<(unsigned long)256>::operator<<(unsigned long) const                                                                bitset              0x1f9b       
std::vector<std::bitset<(unsigned long)256>, std::allocator<std::bitset<(unsigned long)256>>>::operator[]    0.012s                   0.012s                  0s                      0s  benchmark_denseqmc  std::vector<std::bitset<(unsigned long)256>, std::allocator<std::bitset<(unsigned long)256>>>::operator[](unsigned long) const  stl_vector.h        0x211f       
[Outside any known module]                                                                                   0.010s                   0.010s                  0s                      0s  [Unknown]           [Outside any known module]                                                                                                      [Unknown]           0            
rho                                                                                                          0.008s                   0.008s                  0s                      0s  benchmark_denseqmc  rho                                                                                                                             dense.cpp           0x1344       
